cokey,chkey,texdesc,texcl
26567889,79282863,Sandy clay loam,Sandy clay loam
26567889,79282864,Sandy clay loam,Sandy clay loam
26567889,79282865,Sandy clay loam,Sandy clay loam
26567905,79282934,Paragravelly sandy clay loam,Sandy clay loam
26567905,79282935,Sandy clay loam,Sandy clay loam
26567905,79282936,Sandy clay loam,Sandy clay loam
26567905,79282937,Gravelly sandy clay loam,Sandy clay loam
26567905,79282938,Sandy loam,Sandy loam
26567883,79282850,Sand,Sand
26567883,79282851,Sandy clay loam,Sandy clay loam
26573123,79300049,Loam,Loam
26573123,79300050,Sandy clay loam,Sandy clay loam
26573123,79300051,Clay,Clay
26573156,79300206,Loam,Loam
26573156,79300207,Clay loam,Clay loam
26573156,79300208,Sandy loam,Sandy loam
26573156,79300209,Sandy clay loam,Sandy clay loam
26573157,79300210,Sandy loam,Sandy loam
26573157,79300211,Sandy loam,Sandy loam
26573157,79300212,Sandy loam,Sandy loam
26573157,79300213,Fine sandy loam,Fine sandy loam
26573147,79300159,Sand,Sand
26573147,79300160,Sand,Sand
26573147,79300161,Sand,Sand
26573147,79300162,Sand,Sand
26573139,79300120,Loamy sand,Loamy sand
26573139,79300121,Sandy loam,Sandy loam
26573139,79300122,Sandy clay loam,Sandy clay loam
26573139,79300123,Sandy clay loam,Sandy clay loam
26573114,79300027,Loam,Loam
26573114,79300028,Sandy loam,Sandy loam
26573114,79300029,Loamy sand,Loamy sand
26573143,79300139,Paragravelly sandy clay loam,Sandy clay loam
26573143,79300140,Sandy clay loam,Sandy clay loam
26573143,79300141,Sandy clay loam,Sandy clay loam
26573143,79300142,Gravelly sandy clay loam,Sandy clay loam
26573143,79300143,Sandy loam,Sandy loam
26573131,79300078,Loamy sand,Loamy sand
26573131,79300079,Loamy sand,Loamy sand
26573131,79300080,Sandy clay loam,Sandy clay loam
26573131,79300081,Sandy clay loam,Sandy clay loam
26573131,79300082,Sandy loam,Sandy loam
26402117,78771384,Loam,Loam
26402117,78771385,Clay loam,Clay loam
26402117,78771386,Sandy loam,Sandy loam
26402117,78771387,Sandy clay loam,Sandy clay loam
26402118,78771388,Sandy loam,Sandy loam
26402118,78771389,Sandy loam,Sandy loam
26402118,78771390,Sandy loam,Sandy loam
26402118,78771391,Fine sandy loam,Fine sandy loam
