cokey,mukey,comppct_r,compname,hydgrp,drainagecl,slope_r,chkey,hzdept_r,hzdepb_r,ksat_r,awc_r,sandtotal_r,claytotal_r,dbthirdbar_r,om_r
26513556,325127,80,Pelham,B/D,Poorly drained,1,79104854,142,173,9,0.12,59.6,22.5,1.45,0.25
26513556,325127,80,Pelham,B/D,Poorly drained,1,79104855,173,203,9,0.12,63.1,18,1.45,0.25
26513565,325130,80,Stilson,A,Moderately well drained,1,79104915,0,23,92,0.1,85.7,5.3,1.45,1
26513565,325130,80,Stilson,A,Moderately well drained,1,79104909,23,66,92,0.1,87.2,6.1,1.5,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1,79104911,66,89,28,0.14,74.6,18.1,1.5,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1,79104912,89,122,9,0.13,61.8,29.8,1.68,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1,79104913,122,155,9,0.13,61.8,29.8,1.68,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1,79104914,155,196,9,0.16,61.8,29.8,1.5,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1,79104910,196,203,9,0.16,61.8,29.8,1.5,0.15
26513554,325132,85,Tifton,B,Well drained,3,79104843,0,28,91.5,0.11,84.1,6.5,1.62,0.75
26513554,325132,85,Tifton,B,Well drained,3,79104844,28,56,28,0.17,70.5,19.5,1.6,0.5
26513554,325132,85,Tifton,B,Well drained,3,79104847,56,102,9,0.16,63.5,27,1.6,0.25
26513554,325132,85,Tifton,B,Well drained,3,79104848,102,127,2.7,0.09,64.2,27.9,1.68,0.12
26513554,325132,85,Tifton,B,Well drained,3,79104849,127,152,2.7,0.09,62.2,29.9,1.68,0.12
26513554,325132,85,Tifton,B,Well drained,3,79104845,152,165,2.7,0.09,56.6,35.4,1.47,0.1
26513554,325132,85,Tifton,B,Well drained,3,79104846,165,203,0.91,0.16,62.5,29.5,1.54,0.1
26543323,325576,80,Alapaha,B/D,Poorly drained,1,79205933,0,13,92,0.07,86,7.5,1.59,1.5
26543323,325576,80,Alapaha,B/D,Poorly drained,1,79205934,13,28,92,0.07,86,7.5,1.68,0.25
26543323,325576,80,Alapaha,B/D,Poorly drained,1,79205935,28,84,92,0.07,86,7.5,1.68,0.25
26543323,325576,80,Alapaha,B/D,Poorly drained,1,79205936,84,122,9,0.12,59.6,22.5,1.61,0.25
26543323,325576,80,Alapaha,B/D,Poorly drained,1,79205937,122,147,2.7,0.09,59.6,22.5,1.65,0.25
26543323,325576,80,Alapaha,B/D,Poorly drained,1,79205938,147,178,2.7,0.09,59.6,22.5,1.65,0.25
26513232,2455411,75,Faceville,B,Well drained,4,79104182,0,18,28,0.11,68,13,1.58,1.25
26513232,2455411,75,Faceville,B,Well drained,4,79104181,18,46,9,0.16,48,40,1.55,0.25
26513232,2455411,75,Faceville,B,Well drained,4,79104177,46,76,9,0.16,48,40,1.54,0.25
26513232,2455411,75,Faceville,B,Well drained,4,79104178,76,107,9,0.16,48,40,1.54,0.25
26513232,2455411,75,Faceville,B,Well drained,4,79104179,107,137,9,0.16,52,40,1.54,0.25
26513232,2455411,75,Faceville,B,Well drained,4,79104180,137,203,9,0.16,52,42,1.54,0.25
26513218,2455420,85,Lucy,B,Well drained,3,79104108,0,20,92,0.08,84.3,6.5,1.59,0.75
26513218,2455420,85,Lucy,B,Well drained,3,79104109,20,61,92,0.08,84.3,6.5,1.65,0.25
26513218,2455420,85,Lucy,B,Well drained,3,79104110,61,89,28,0.11,66.8,18,1.64,0.1
26513218,2455420,85,Lucy,B,Well drained,3,79104111,89,178,9,0.13,53.5,32.5,1.58,0.1
26513242,2455424,50,Nankin,C,Well drained,30,79104217,0,10,28,0.08,82.5,8.5,1.55,1.25
26513242,2455424,50,Nankin,C,Well drained,30,79104218,10,40,9,0.13,51,31,1.6,0.25
26513242,2455424,50,Nankin,C,Well drained,30,79104219,40,112,2.7,0.14,45.6,42.5,1.5,0.25
26513242,2455424,50,Nankin,C,Well drained,30,79104220,112,203,9,0.13,61,25,1.56,0.25
26513243,2455424,40,Cowarts,B,Well drained,30,79104223,0,18,91.5,0.1,84.3,6.5,1.6,1.25
26513243,2455424,40,Cowarts,B,Well drained,30,79104224,18,38,9,0.12,66.8,18,1.63,0.5
26513243,2455424,40,Cowarts,B,Well drained,30,79104221,38,79,9,0.16,53.5,32.5,1.58,0.25
26513243,2455424,40,Cowarts,B,Well drained,30,79104222,79,102,9,0.16,53.5,32.5,1.52,0.25
26513243,2455424,40,Cowarts,B,Well drained,30,79104225,102,122,28,0.16,62.5,18,1.56,0.25
26513243,2455424,40,Cowarts,B,Well drained,30,79104226,122,150,0.215,0.07,62.5,18,1.79,0.25
26513243,2455424,40,Cowarts,B,Well drained,30,79104227,150,203,0.215,0.09,84.3,6.5,1.62,0.25
26513222,2455430,80,Orangeburg,B,Well drained,3,79104126,0,18,46,0.09,82.8,8,1.5,1.25
26513222,2455430,80,Orangeburg,B,Well drained,3,79104128,18,30,31,0.13,80,10.5,1.6,0.25
26513222,2455430,80,Orangeburg,B,Well drained,3,79104127,30,137,9,0.15,61.5,26.5,1.68,0.25
26513222,2455430,80,Orangeburg,B,Well drained,3,79104129,137,203,9,0.11,53.5,32.5,1.68,0.25
26513225,2455431,80,Orangeburg,B,Well drained,7,79104140,0,13,31,0.13,75,15,1.6,1.25
