agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no,geometry
USGS,313801084124401,12M058,GW,313801.31,841244.22,31.6336972,-84.2122833,D,H,NAD83,NAD83,13,13,13177,US,,LEESBURG,24000.0,244.0,N,5.0,NAVD88,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,199507.0,,,,EST,Y,C,,S100SECSLP,124CLBR,C,420.0,420.0,D,2503-00700,POINT (-84.2122833 31.6336972)
USGS,313808084093601,12M017,GW,313808.0,840936.0,31.63575029,-84.1599123,M,F,NAD27,NAD83,13,13,13177,US,,LEESBURG,24000.0,222.3,X,0.02,NAVD88,3130007,,F,YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,1982.0,,,,EST,Y,U,YYNYNYNN,S400FLORDN,120FLRDU,C,181.0,181.0,L,0451307700,POINT (-84.1599123 31.63575029)
USGS,313808084093602,12M026,GW,313808.0,840936.0,31.63572859,-84.1599081,M,F,NAD27,NAD83,13,13,13177,US,,LEESBURG,24000.0,220.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1983.0,,,,EST,Y,U,YYNYNYNN,S400FLORDN,120FLRDU,,220.0,220.0,O,0451307700,POINT (-84.1599081 31.63572859)
USGS,313808084145001,12M052,GW,313808.27,841450.77,31.63563056,-84.2474361,D,H,NAD83,NAD83,13,13,13177,US,,LEESBURG,24000.0,,,,,3130008,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,,S400FLORDN,120FLRDU,,,,,2503-00700,POINT (-84.2474361 31.63563056)
USGS,313812084125001,12M002,GW,313810.0,841249.0,31.63628357,-84.2135205,M,F,NAD27,NAD83,13,13,13177,US,,LEESBURG,24000.0,238.0,M,5.0,NGVD29,3130007,,H,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19780925.0,,,,EST,Y,C,YYYYNYNN,S100SECSLP,125CLTN,C,650.0,650.0,,GA-76-051,POINT (-84.2135205 31.63628357)
USGS,313813084125001,12M001,GW,313811.0,841249.0,31.63656135,-84.2135205,M,F,NAD27,NAD83,13,13,13177,US,,LEESBURG,24000.0,238.0,M,5.0,NGVD29,3130007,,H,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19780627.0,,,,EST,Y,C,YYNYNYNN,S100SECSLP,124CLBR,C,385.0,385.0,,GA-76-051,POINT (-84.2135205 31.63656135)
USGS,313813084125002,12M003,GW,313813.0,841250.0,31.63711689,-84.2137983,M,F,NAD27,NAD83,13,13,13177,US,,LEESBURG,24000.0,234.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1977.0,,,,EST,Y,U,YYNYNYNN,S400FLORDN,120FLRDU,,140.0,140.0,O,0451307700,POINT (-84.2137983 31.63711689)
USGS,313813084171801,11M010,GW,313811.0,841720.0,31.6365607,-84.2887999,M,F,NAD27,NAD83,13,13,13177,US,,SASSER,24000.0,263.0,M,5.0,NGVD29,3130008,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19520101.0,,,,EST,Y,C,YYNNNYNN,S400FLORDN,120FLRDU,,120.0,120.0,,0451306700,POINT (-84.2887999 31.6365607)
USGS,313814084114101,12M015,GW,313812.0,841142.0,31.6368393,-84.194909,M,F,NAD27,NAD83,13,13,13177,US,,LEESBURG,24000.0,210.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19760112.0,,,,EST,Y,C,YYNNNYNN,S400FLORDN,120FLRDU,,105.0,105.0,,0451306700,POINT (-84.194909 31.6368393)
USGS,313815084035101,13M083,GW,313815.0,840351.0,31.637674,-84.0640724,M,F,NAD27,NAD83,13,13,13177,US,,ALBANY NE,24000.0,241.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1900.0,19831121.0,,,EST,Y,C,YYNYNYNN,S400FLORDN,120FLRDU,C,165.0,165.0,D,0451307900,POINT (-84.0640724 31.637674)
USGS,313816084145701,12M053,GW,313816.46,841457.55,31.63790556,-84.2493194,D,H,NAD83,NAD83,13,13,13177,US,,LEESBURG,24000.0,,,,,3130008,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,,S400FLORDN,120FLRDU,,,,,2503-00700,POINT (-84.2493194 31.63790556)
USGS,313825084113801,12M046,GW,313825.49,841138.02,31.64041389,-84.1938944,D,H,NAD83,NAD83,13,13,13177,US,,LEESBURG,24000.0,,,,,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,,S400FLORDN,120FLRDU,,,,,2503-00700,POINT (-84.1938944 31.64041389)
USGS,313825084113901,12M047,GW,313825.85,841139.03,31.64051389,-84.194175,D,H,NAD83,NAD83,13,13,13177,US,,LEESBURG,24000.0,,,,,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,,S400FLORDN,120FLRDU,,,,,2503-00700,POINT (-84.194175 31.64051389)
USGS,313837084150901,11M021,GW,313837.0,841509.0,31.64378304,-84.2524104,U,U,NAD27,NAD83,13,13,13177,US,,,24000.0,245.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,19820401.0,,,EST,Y,M,,,,,,,,,POINT (-84.2524104 31.64378304)
USGS,313846084061901,13M088,GW,313845.61,840618.93,31.64600278,-84.1052583,N,5,NAD83,NAD83,13,13,13177,US,,Albany NE,24000.0,222.0,N,5.0,NAVD88,3130007,,,,19930921.0,20210517.0,,,EST,Y,C,,S400FLORDN,120FLRDU,C,207.0,210.0,D,,POINT (-84.1052583 31.64600278)
USGS,313849084103001,12M023,GW,313849.0,841030.0,31.6471171,-84.1749085,M,F,NAD27,NAD83,13,13,13177,US,,LEESBURG,24000.0,237.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,YYNNNNNN,S400FLORDN,120FLRDU,,,,,0451307700,POINT (-84.1749085 31.6471171)
