site_id,latitude,longitude,nlcd_class,nlcd_class_name,mar_suitability_score,impervious_pct
GA_038,31.992857,-83.85,90,Woody Wetlands,0.1,0
GA_039,31.992857,-83.75,21,"Developed, Open Space",0.2,12
GA_040,31.992857,-83.65,82,Cultivated Crops,0.5,0
GA_041,32.107143,-84.55,42,Evergreen Forest,0.6,0
GA_042,32.107143,-84.45,71,Grassland/Herbaceous,0.9,0
GA_043,32.107143,-84.35,41,Deciduous Forest,0.6,0
GA_044,32.107143,-84.25,21,"Developed, Open Space",0.2,3
GA_045,32.107143,-84.15,42,Evergreen Forest,0.6,0
GA_046,32.107143,-84.05,42,Evergreen Forest,0.6,0
GA_047,32.107143,-83.95,82,Cultivated Crops,0.5,0
GA_048,32.107143,-83.85,42,Evergreen Forest,0.6,0
GA_049,32.107143,-83.75,90,Woody Wetlands,0.1,0
GA_050,32.107143,-83.65,22,"Developed, Low Intensity",0.0,40
GA_051,32.221429,-84.55,21,"Developed, Open Space",0.2,2
GA_052,32.221429,-84.45,42,Evergreen Forest,0.6,0
GA_053,32.221429,-84.35,71,Grassland/Herbaceous,0.9,0
GA_054,32.221429,-84.25,42,Evergreen Forest,0.6,0
GA_055,32.221429,-84.15,41,Deciduous Forest,0.6,0
GA_056,32.221429,-84.05,11,Open Water,0.0,0
GA_057,32.221429,-83.95,82,Cultivated Crops,0.5,0
GA_058,32.221429,-83.85,82,Cultivated Crops,0.5,0
GA_059,32.221429,-83.75,90,Woody Wetlands,0.1,0
GA_060,32.221429,-83.65,82,Cultivated Crops,0.5,0
GA_061,32.335714,-84.55,42,Evergreen Forest,0.6,0
GA_062,32.335714,-84.45,42,Evergreen Forest,0.6,0
GA_063,32.335714,-84.35,42,Evergreen Forest,0.6,0
GA_064,32.335714,-84.25,43,Mixed Forest,0.6,0
GA_065,32.335714,-84.15,41,Deciduous Forest,0.6,0
GA_066,32.335714,-84.05,43,Mixed Forest,0.6,0
GA_067,32.335714,-83.95,90,Woody Wetlands,0.1,0
GA_068,32.335714,-83.85,42,Evergreen Forest,0.6,0
GA_069,32.335714,-83.75,81,Pasture/Hay,0.7,0
GA_070,32.335714,-83.65,71,Grassland/Herbaceous,0.9,0
GA_072,32.45,-84.45,52,Shrub/Scrub,0.8,0
GA_073,32.45,-84.35,82,Cultivated Crops,0.5,0
GA_074,32.45,-84.25,42,Evergreen Forest,0.6,0
GA_075,32.45,-84.15,82,Cultivated Crops,0.5,0
GA_076,32.45,-84.05,82,Cultivated Crops,0.5,0
GA_077,32.45,-83.95,43,Mixed Forest,0.6,0
GA_078,32.45,-83.85,43,Mixed Forest,0.6,0
GA_079,32.45,-83.75,22,"Developed, Low Intensity",0.0,25
